R0,tau,delay,p,q,prob_dieout,mean_R_inf
1.125,6.0,0.0,0.055,0.36,0.256,0.537328
1.125,6.0,0.25,0.055,0.36,0.228,0.539726
1.125,6.0,0.5,0.055,0.36,0.224,0.5410219999999999
1.125,6.0,0.75,0.055,0.36,0.224,0.541318
1.125,6.0,1.0,0.055,0.36,0.216,0.541696
1.125,6.0,1.25,0.055,0.36,0.226,0.542196
1.125,6.0,1.5,0.055,0.36,0.21,0.542066
1.125,6.0,2.0,0.055,0.36,0.216,0.5423340000000001
1.25,6.0,0.0,0.055,0.36,0.026,0.622912
1.25,6.0,0.25,0.055,0.36,0.024,0.6244879999999999
1.25,6.0,0.5,0.055,0.36,0.024,0.6256120000000001
1.25,6.0,0.75,0.055,0.36,0.024,0.6264120000000001
1.25,6.0,1.0,0.055,0.36,0.022,0.6266919999999999
1.25,6.0,1.25,0.055,0.36,0.024,0.626966
1.25,6.0,1.5,0.055,0.36,0.026,0.62688
1.25,6.0,2.0,0.055,0.36,0.024,0.6267440000000001
1.3125,6.0,0.0,0.055,0.36,0.004,0.66726
1.3125,6.0,0.25,0.055,0.36,0.004,0.669144
1.3125,6.0,0.5,0.055,0.36,0.004,0.669772
1.3125,6.0,0.75,0.055,0.36,0.004,0.670806
1.3125,6.0,1.0,0.055,0.36,0.004,0.6710640000000001
1.3125,6.0,1.25,0.055,0.36,0.004,0.6711999999999999
1.3125,6.0,1.5,0.055,0.36,0.004,0.6709579999999999
1.3125,6.0,2.0,0.055,0.36,0.004,0.671106
1.375,6.0,0.0,0.055,0.36,0.0,0.699562
1.375,6.0,0.25,0.055,0.36,0.0,0.7014680000000001
1.375,6.0,0.5,0.055,0.36,0.0,0.7024579999999999
1.375,6.0,0.75,0.055,0.36,0.0,0.7026279999999999
1.375,6.0,1.0,0.055,0.36,0.0,0.702952
1.375,6.0,1.25,0.055,0.36,0.0,0.702942
1.375,6.0,1.5,0.055,0.36,0.0,0.703142
1.375,6.0,2.0,0.055,0.36,0.0,0.703054
1.4375,6.0,0.0,0.055,0.36,0.0,0.7339
1.4375,6.0,0.25,0.055,0.36,0.0,0.7351420000000001
1.4375,6.0,0.5,0.055,0.36,0.0,0.736128
1.4375,6.0,0.75,0.055,0.36,0.0,0.7364080000000002
1.4375,6.0,1.0,0.055,0.36,0.0,0.736386
1.4375,6.0,1.25,0.055,0.36,0.0,0.736598
1.4375,6.0,1.5,0.055,0.36,0.0,0.736672
1.4375,6.0,2.0,0.055,0.36,0.0,0.73677
1.5,6.0,0.0,0.055,0.36,0.0,0.759784
1.5,6.0,0.25,0.055,0.36,0.0,0.760648
1.5,6.0,0.5,0.055,0.36,0.0,0.7612239999999999
1.5,6.0,0.75,0.055,0.36,0.0,0.761678
1.5,6.0,1.0,0.055,0.36,0.0,0.761992
1.5,6.0,1.25,0.055,0.36,0.0,0.762038
1.5,6.0,1.5,0.055,0.36,0.0,0.762164
1.5,6.0,2.0,0.055,0.36,0.0,0.762086
1.75,6.0,0.0,0.055,0.36,0.0,0.8436419999999999
1.75,6.0,0.25,0.055,0.36,0.0,0.84421
1.75,6.0,0.5,0.055,0.36,0.0,0.844624
1.75,6.0,0.75,0.055,0.36,0.0,0.8446779999999999
1.75,6.0,1.0,0.055,0.36,0.0,0.84478
1.75,6.0,1.25,0.055,0.36,0.0,0.844814
1.75,6.0,1.5,0.055,0.36,0.0,0.8448779999999999
1.75,6.0,2.0,0.055,0.36,0.0,0.8447819999999999
1.125,2.5,0.0,0.275,0.47,0.998,0.3753999999999999
