p,q,tau,mean_r_inf
0.3157894736842105,0.10526315789473684,5,0.7405999999999999
0.3157894736842105,0.13157894736842105,5,0.7201
0.3157894736842105,0.15789473684210525,5,0.7184
0.3157894736842105,0.18421052631578946,5,0.6786
0.3157894736842105,0.21052631578947367,5,0.6607999999999999
0.3157894736842105,0.23684210526315788,5,0.6374000000000001
0.3157894736842105,0.2631578947368421,5,0.6456999999999999
0.3157894736842105,0.2894736842105263,5,0.6155
0.3157894736842105,0.3157894736842105,5,0.5810000000000001
0.3157894736842105,0.3421052631578947,5,0.5737
0.3157894736842105,0.3684210526315789,5,0.5799
0.3157894736842105,0.39473684210526316,5,0.6141
0.3157894736842105,0.42105263157894735,5,0.5078000000000001
0.3157894736842105,0.4473684210526315,5,0.5352
0.3157894736842105,0.47368421052631576,5,0.5204
0.3157894736842105,0.5,5,0.5298999999999999
0.3684210526315789,0.0,5,0.8332
0.3684210526315789,0.02631578947368421,5,0.8084
0.3684210526315789,0.05263157894736842,5,0.8021
0.3684210526315789,0.07894736842105263,5,0.781
0.3684210526315789,0.10526315789473684,5,0.7499
0.3684210526315789,0.13157894736842105,5,0.7268000000000001
0.3684210526315789,0.15789473684210525,5,0.7085000000000001
0.3684210526315789,0.18421052631578946,5,0.6845
0.3684210526315789,0.21052631578947367,5,0.6695
0.3684210526315789,0.23684210526315788,5,0.6646
0.3684210526315789,0.2631578947368421,5,0.6343
0.3684210526315789,0.2894736842105263,5,0.6247
